Pick up: 188| Drop off: 24| Hour/Min/Sec: 0:0:00
Pick up: 52| Drop off: 123| Hour/Min/Sec: 6:27:00
Pick up: 34| Drop off: 51| Hour/Min/Sec: 6:27:00
Pick up: 65| Drop off: 131| Hour/Min/Sec: 6:28:00
Pick up: 167| Drop off: 122| Hour/Min/Sec: 6:28:00
Pick up: 81| Drop off: 137| Hour/Min/Sec: 6:28:00
Pick up: 86| Drop off: 133| Hour/Min/Sec: 6:28:00
Pick up: 183| Drop off: 32| Hour/Min/Sec: 6:29:00
Pick up: 131| Drop off: 170| Hour/Min/Sec: 6:30:00
Pick up: 51| Drop off: 193| Hour/Min/Sec: 6:31:00
Pick up: 113| Drop off: 31| Hour/Min/Sec: 6:31:00
Pick up: 51| Drop off: 191| Hour/Min/Sec: 6:32:00
Pick up: 33| Drop off: 11| Hour/Min/Sec: 6:32:00
Pick up: 65| Drop off: 4| Hour/Min/Sec: 6:33:00
Pick up: 54| Drop off: 31| Hour/Min/Sec: 6:34:00
Pick up: 42| Drop off: 22| Hour/Min/Sec: 6:34:00
Pick up: 81| Drop off: 66| Hour/Min/Sec: 6:35:00
Pick up: 177| Drop off: 94| Hour/Min/Sec: 6:35:00
Pick up: 138| Drop off: 136| Hour/Min/Sec: 6:35:00
Pick up: 54| Drop off: 41| Hour/Min/Sec: 6:35:00
Pick up: 140| Drop off: 1| Hour/Min/Sec: 6:36:00
Pick up: 100| Drop off: 9| Hour/Min/Sec: 6:36:00
Pick up: 39| Drop off: 47| Hour/Min/Sec: 6:37:00
Pick up: 196| Drop off: 53| Hour/Min/Sec: 6:37:00
Pick up: 107| Drop off: 96| Hour/Min/Sec: 6:38:00
Pick up: 162| Drop off: 105| Hour/Min/Sec: 6:38:00
Pick up: 143| Drop off: 24| Hour/Min/Sec: 6:38:00
Pick up: 0| Drop off: 163| Hour/Min/Sec: 6:38:00
Pick up: 119| Drop off: 119| Hour/Min/Sec: 6:39:00
Pick up: 104| Drop off: 38| Hour/Min/Sec: 6:40:00
Pick up: 187| Drop off: 88| Hour/Min/Sec: 6:40:00
Pick up: 198| Drop off: 58| Hour/Min/Sec: 6:41:00
Pick up: 152| Drop off: 69| Hour/Min/Sec: 6:41:00
Pick up: 166| Drop off: 180| Hour/Min/Sec: 6:41:00
Pick up: 85| Drop off: 87| Hour/Min/Sec: 6:42:00
Pick up: 0| Drop off: 106| Hour/Min/Sec: 6:44:00
Pick up: 191| Drop off: 13| Hour/Min/Sec: 6:44:00
Pick up: 178| Drop off: 44| Hour/Min/Sec: 6:45:00
Pick up: 6| Drop off: 124| Hour/Min/Sec: 6:45:00
Pick up: 166| Drop off: 161| Hour/Min/Sec: 6:45:00
Pick up: 49| Drop off: 74| Hour/Min/Sec: 6:45:00
Pick up: 166| Drop off: 70| Hour/Min/Sec: 6:46:00
Pick up: 176| Drop off: 193| Hour/Min/Sec: 6:46:00
Pick up: 127| Drop off: 161| Hour/Min/Sec: 6:47:00
Pick up: 181| Drop off: 136| Hour/Min/Sec: 6:47:00
Pick up: 128| Drop off: 107| Hour/Min/Sec: 6:47:00
Pick up: 109| Drop off: 182| Hour/Min/Sec: 6:48:00
Pick up: 106| Drop off: 197| Hour/Min/Sec: 6:49:00
Pick up: 73| Drop off: 98| Hour/Min/Sec: 6:50:00
Pick up: 131| Drop off: 31| Hour/Min/Sec: 6:50:00
Pick up: 22| Drop off: 19| Hour/Min/Sec: 6:51:00
Pick up: 195| Drop off: 13| Hour/Min/Sec: 6:51:00
Pick up: 127| Drop off: 3| Hour/Min/Sec: 6:51:00
Pick up: 115| Drop off: 44| Hour/Min/Sec: 6:51:00
Pick up: 193| Drop off: 18| Hour/Min/Sec: 6:51:00
Pick up: 142| Drop off: 1| Hour/Min/Sec: 6:52:00
Pick up: 153| Drop off: 41| Hour/Min/Sec: 6:52:00
Pick up: 11| Drop off: 11| Hour/Min/Sec: 6:52:00
Pick up: 111| Drop off: 82| Hour/Min/Sec: 6:53:00
Pick up: 132| Drop off: 171| Hour/Min/Sec: 6:53:00
Pick up: 7| Drop off: 17| Hour/Min/Sec: 6:55:00
Pick up: 187| Drop off: 78| Hour/Min/Sec: 6:56:00
Pick up: 155| Drop off: 110| Hour/Min/Sec: 6:56:00
Pick up: 28| Drop off: 117| Hour/Min/Sec: 6:56:00
Pick up: 188| Drop off: 98| Hour/Min/Sec: 6:56:00
Pick up: 16| Drop off: 10| Hour/Min/Sec: 6:57:00
Pick up: 151| Drop off: 4| Hour/Min/Sec: 6:57:00
Pick up: 29| Drop off: 168| Hour/Min/Sec: 6:58:00
Pick up: 149| Drop off: 77| Hour/Min/Sec: 6:58:00
Pick up: 65| Drop off: 161| Hour/Min/Sec: 6:58:00
Pick up: 167| Drop off: 140| Hour/Min/Sec: 6:59:00
Pick up: 181| Drop off: 76| Hour/Min/Sec: 6:59:00
Pick up: 19| Drop off: 126| Hour/Min/Sec: 7:0:00
Pick up: 14| Drop off: 27| Hour/Min/Sec: 7:1:00
Pick up: 19| Drop off: 111| Hour/Min/Sec: 7:1:00
Pick up: 17| Drop off: 137| Hour/Min/Sec: 7:1:00
Pick up: 173| Drop off: 28| Hour/Min/Sec: 7:2:00
Pick up: 82| Drop off: 25| Hour/Min/Sec: 7:2:00
Pick up: 23| Drop off: 22| Hour/Min/Sec: 7:2:00
Pick up: 21| Drop off: 110| Hour/Min/Sec: 7:2:00
Pick up: 84| Drop off: 132| Hour/Min/Sec: 7:3:00
Pick up: 107| Drop off: 162| Hour/Min/Sec: 7:3:00
Pick up: 20| Drop off: 5| Hour/Min/Sec: 7:3:00
Pick up: 144| Drop off: 130| Hour/Min/Sec: 7:4:00
Pick up: 11| Drop off: 24| Hour/Min/Sec: 7:4:00
Pick up: 162| Drop off: 45| Hour/Min/Sec: 7:4:00
Pick up: 20| Drop off: 134| Hour/Min/Sec: 7:4:00
Pick up: 130| Drop off: 9| Hour/Min/Sec: 7:4:00
Pick up: 111| Drop off: 144| Hour/Min/Sec: 7:5:00
Pick up: 197| Drop off: 130| Hour/Min/Sec: 7:6:00
Pick up: 24| Drop off: 59| Hour/Min/Sec: 7:6:00
Pick up: 38| Drop off: 98| Hour/Min/Sec: 7:6:00
Pick up: 76| Drop off: 57| Hour/Min/Sec: 7:7:00
Pick up: 8| Drop off: 10| Hour/Min/Sec: 7:8:00
Pick up: 140| Drop off: 93| Hour/Min/Sec: 7:8:00
Pick up: 193| Drop off: 80| Hour/Min/Sec: 7:8:00
Pick up: 101| Drop off: 153| Hour/Min/Sec: 7:8:00
Pick up: 177| Drop off: 21| Hour/Min/Sec: 7:9:00
Pick up: 36| Drop off: 131| Hour/Min/Sec: 7:9:00
Pick up: 59| Drop off: 130| Hour/Min/Sec: 7:10:00
Pick up: 78| Drop off: 17| Hour/Min/Sec: 7:10:00
Pick up: 61| Drop off: 76| Hour/Min/Sec: 7:11:00
Pick up: 60| Drop off: 33| Hour/Min/Sec: 7:12:00
Pick up: 115| Drop off: 165| Hour/Min/Sec: 7:12:00
Pick up: 168| Drop off: 85| Hour/Min/Sec: 7:12:00
Pick up: 104| Drop off: 17| Hour/Min/Sec: 7:12:00
Pick up: 156| Drop off: 122| Hour/Min/Sec: 7:13:00
Pick up: 173| Drop off: 87| Hour/Min/Sec: 7:13:00
Pick up: 0| Drop off: 64| Hour/Min/Sec: 7:13:00
Pick up: 106| Drop off: 169| Hour/Min/Sec: 7:13:00
Pick up: 59| Drop off: 53| Hour/Min/Sec: 7:14:00
Pick up: 15| Drop off: 104| Hour/Min/Sec: 7:14:00
Pick up: 141| Drop off: 178| Hour/Min/Sec: 7:15:00
Pick up: 122| Drop off: 24| Hour/Min/Sec: 7:16:00
Pick up: 151| Drop off: 165| Hour/Min/Sec: 7:16:00
Pick up: 99| Drop off: 158| Hour/Min/Sec: 7:16:00
Pick up: 30| Drop off: 51| Hour/Min/Sec: 7:16:00
Pick up: 82| Drop off: 103| Hour/Min/Sec: 7:16:00
Pick up: 144| Drop off: 14| Hour/Min/Sec: 7:17:00
Pick up: 167| Drop off: 112| Hour/Min/Sec: 7:17:00
Pick up: 177| Drop off: 36| Hour/Min/Sec: 7:18:00
Pick up: 124| Drop off: 173| Hour/Min/Sec: 7:18:00
Pick up: 29| Drop off: 118| Hour/Min/Sec: 7:18:00
Pick up: 148| Drop off: 28| Hour/Min/Sec: 7:19:00
Pick up: 133| Drop off: 22| Hour/Min/Sec: 7:19:00
Pick up: 189| Drop off: 15| Hour/Min/Sec: 7:20:00
Pick up: 147| Drop off: 124| Hour/Min/Sec: 7:20:00
Pick up: 103| Drop off: 105| Hour/Min/Sec: 7:20:00
Pick up: 57| Drop off: 109| Hour/Min/Sec: 7:21:00
Pick up: 124| Drop off: 74| Hour/Min/Sec: 7:21:00
Pick up: 37| Drop off: 195| Hour/Min/Sec: 7:21:00
Pick up: 136| Drop off: 16| Hour/Min/Sec: 7:24:00
Pick up: 89| Drop off: 96| Hour/Min/Sec: 7:24:00
Pick up: 57| Drop off: 120| Hour/Min/Sec: 7:25:00
Pick up: 104| Drop off: 8| Hour/Min/Sec: 7:26:00
Pick up: 139| Drop off: 176| Hour/Min/Sec: 7:26:00
Pick up: 14| Drop off: 27| Hour/Min/Sec: 7:27:00
Pick up: 101| Drop off: 159| Hour/Min/Sec: 7:28:00
Pick up: 156| Drop off: 141| Hour/Min/Sec: 7:29:00
Pick up: 141| Drop off: 167| Hour/Min/Sec: 7:29:00
Pick up: 10| Drop off: 92| Hour/Min/Sec: 7:29:00
Pick up: 189| Drop off: 105| Hour/Min/Sec: 7:30:00
Pick up: 31| Drop off: 142| Hour/Min/Sec: 7:30:00
Pick up: 90| Drop off: 194| Hour/Min/Sec: 7:30:00
Pick up: 147| Drop off: 121| Hour/Min/Sec: 7:30:00
Pick up: 143| Drop off: 4| Hour/Min/Sec: 7:30:00
Pick up: 143| Drop off: 159| Hour/Min/Sec: 7:31:00
Pick up: 91| Drop off: 81| Hour/Min/Sec: 7:31:00
Pick up: 67| Drop off: 49| Hour/Min/Sec: 7:32:00
Pick up: 28| Drop off: 149| Hour/Min/Sec: 7:33:00
Pick up: 20| Drop off: 104| Hour/Min/Sec: 7:34:00
Pick up: 40| Drop off: 110| Hour/Min/Sec: 7:34:00
Pick up: 29| Drop off: 168| Hour/Min/Sec: 7:34:00
Pick up: 128| Drop off: 145| Hour/Min/Sec: 7:34:00
Pick up: 46| Drop off: 145| Hour/Min/Sec: 7:35:00
Pick up: 192| Drop off: 196| Hour/Min/Sec: 7:35:00
Pick up: 42| Drop off: 157| Hour/Min/Sec: 7:35:00
Pick up: 135| Drop off: 74| Hour/Min/Sec: 7:36:00
Pick up: 76| Drop off: 183| Hour/Min/Sec: 7:36:00
Pick up: 169| Drop off: 19| Hour/Min/Sec: 7:36:00
Pick up: 62| Drop off: 34| Hour/Min/Sec: 7:36:00
Pick up: 118| Drop off: 49| Hour/Min/Sec: 7:37:00
Pick up: 5| Drop off: 119| Hour/Min/Sec: 7:39:00
Pick up: 42| Drop off: 149| Hour/Min/Sec: 7:40:00
Pick up: 78| Drop off: 90| Hour/Min/Sec: 7:42:00
Pick up: 78| Drop off: 175| Hour/Min/Sec: 7:42:00
Pick up: 2| Drop off: 118| Hour/Min/Sec: 7:43:00
Pick up: 113| Drop off: 185| Hour/Min/Sec: 7:44:00
Pick up: 131| Drop off: 54| Hour/Min/Sec: 7:44:00
Pick up: 2| Drop off: 101| Hour/Min/Sec: 7:44:00
Pick up: 79| Drop off: 93| Hour/Min/Sec: 7:44:00
Pick up: 163| Drop off: 111| Hour/Min/Sec: 7:45:00
Pick up: 34| Drop off: 193| Hour/Min/Sec: 7:45:00
Pick up: 159| Drop off: 65| Hour/Min/Sec: 7:45:00
Pick up: 182| Drop off: 148| Hour/Min/Sec: 7:45:00
Pick up: 160| Drop off: 88| Hour/Min/Sec: 7:46:00
Pick up: 86| Drop off: 127| Hour/Min/Sec: 7:46:00
Pick up: 116| Drop off: 141| Hour/Min/Sec: 7:46:00
Pick up: 70| Drop off: 0| Hour/Min/Sec: 7:46:00
Pick up: 194| Drop off: 127| Hour/Min/Sec: 7:46:00
Pick up: 166| Drop off: 195| Hour/Min/Sec: 7:46:00
Pick up: 104| Drop off: 45| Hour/Min/Sec: 7:47:00
Pick up: 17| Drop off: 65| Hour/Min/Sec: 7:48:00
Pick up: 90| Drop off: 45| Hour/Min/Sec: 7:48:00
Pick up: 129| Drop off: 12| Hour/Min/Sec: 7:48:00
Pick up: 52| Drop off: 11| Hour/Min/Sec: 7:49:00
Pick up: 123| Drop off: 159| Hour/Min/Sec: 7:49:00
Pick up: 190| Drop off: 6| Hour/Min/Sec: 7:49:00
Pick up: 5| Drop off: 96| Hour/Min/Sec: 7:50:00
Pick up: 140| Drop off: 122| Hour/Min/Sec: 7:50:00
Pick up: 178| Drop off: 147| Hour/Min/Sec: 7:51:00
Pick up: 112| Drop off: 74| Hour/Min/Sec: 7:51:00
Pick up: 76| Drop off: 164| Hour/Min/Sec: 7:52:00
Pick up: 118| Drop off: 165| Hour/Min/Sec: 7:52:00
Pick up: 80| Drop off: 144| Hour/Min/Sec: 7:53:00
Pick up: 65| Drop off: 6| Hour/Min/Sec: 7:54:00
Pick up: 21| Drop off: 88| Hour/Min/Sec: 7:55:00
Pick up: 60| Drop off: 111| Hour/Min/Sec: 7:56:00
Pick up: 68| Drop off: 18| Hour/Min/Sec: 7:56:00
Pick up: 169| Drop off: 1| Hour/Min/Sec: 7:57:00
Pick up: 182| Drop off: 179| Hour/Min/Sec: 7:57:00
Pick up: 153| Drop off: 28| Hour/Min/Sec: 7:57:00
Pick up: 167| Drop off: 98| Hour/Min/Sec: 7:58:00
Pick up: 146| Drop off: 42| Hour/Min/Sec: 7:58:00
Pick up: 180| Drop off: 186| Hour/Min/Sec: 7:58:00
Pick up: 150| Drop off: 14| Hour/Min/Sec: 7:58:00
Pick up: 114| Drop off: 51| Hour/Min/Sec: 7:59:00
Pick up: 176| Drop off: 170| Hour/Min/Sec: 7:59:00
Pick up: 53| Drop off: 60| Hour/Min/Sec: 7:59:00
Pick up: 0| Drop off: 0| Hour/Min/Sec: 5:<function null at 0x7f97e85815e0>:00
